Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
122373.0,1.563080231,-1.641246536,-0.754309409,-0.309345465,-1.074389535,0.114469468,-0.61855549,0.076570868,0.00614341,0.587502595,0.717084956,0.885803635,0.142509298,0.174061387,-0.003172431,-1.267544711,-0.458323054,1.661635133,-0.610665116,-0.10565821,-0.369784225,-1.095222789,0.26681247,0.60404642,-0.601246539,-1.056248726,0.02643279,0.017712802,261.95,0
59740.0,0.954917149,-0.051358003,0.156800176,1.367025868,-0.252798907,-0.56649824,0.411974941,-0.169084566,0.042688102,-0.165735871,-0.071604501,0.658785083,0.045917559,0.280798061,0.24487876,-0.802419795,0.290203324,-0.991895709,-0.595621247,0.041459969,0.087620591,0.202777078,-0.184706683,0.429818488,0.694889254,-0.280062148,0.007365775,0.03411063,118.88,0
143479.0,1.978530587,-0.862725891,-2.285786885,-0.687593214,0.912795643,1.189142804,-0.176560846,0.216459767,-0.666006525,0.772587825,0.481147502,0.562178188,-0.359178042,0.68306332,-0.288676391,-2.783327056,0.517484225,0.191331732,-1.0488456,-0.630319636,-0.222615232,-0.026106927,0.062129929,-0.964164553,0.143708964,-0.095567681,0.013231397,-0.076548513,58.38,0
73180.0,-0.667316095,1.217970719,1.444917697,-0.145091853,0.10044372,-0.433216231,0.642959178,0.061098632,-0.268767247,-0.059288148,-0.088204457,0.252914214,0.40133409,0.022125352,1.070816099,-0.134463672,-0.145454698,-0.866445451,-0.377764489,0.215083604,-0.226394775,-0.469417217,0.009176796,0.061611617,-0.203488315,0.10409782,0.390063968,0.178143365,0.89,0
44434.0,1.238748801,-0.693618612,0.700629206,-0.666395595,-1.261136124,-0.686029694,-0.691866056,-0.104247325,-1.041699943,0.748981566,1.742684312,0.630966146,1.093076323,-0.253229397,0.080064788,1.339983667,-0.062852169,-0.733780805,0.526815772,0.254822416,0.456270766,1.162570543,-0.183571444,0.611995749,0.517000754,-0.071345594,0.010346661,0.021152529,65.08,0
140636.0,2.116920104,-0.317081948,-1.661202147,-0.952440405,0.343282512,-0.426302205,-0.013069485,-0.105291806,0.602776464,-0.045979534,0.537517952,0.77297503,-0.1267289,0.567551403,-0.007697226,0.270851498,-0.758740081,-0.106446731,0.998313263,-0.140354935,-0.288030045,-0.815069942,0.307345332,0.106425206,-0.329029339,0.527290043,-0.113347828,-0.076647106,4.0,0
68522.0,0.863942422,-0.353910603,-0.079366767,1.350058511,-0.277969286,-0.385688899,0.381615913,-0.077830004,0.281116851,-0.149374211,-0.614657971,-0.231270697,-1.359917437,0.567498464,0.438666668,-0.629768436,0.256939592,-0.691808343,-0.48100876,0.077398535,0.084556844,-0.010051955,-0.258333781,0.079062212,0.667476191,-0.261741349,-0.013851018,0.037955594,177.42,0
95604.0,-0.441141903,1.069634566,0.796227019,-0.718285906,0.65102867,-0.832148259,1.196033312,-0.545244809,1.805844258,-0.69044609,0.034412812,-1.629199636,2.879956063,0.788200394,-1.773415783,-0.887530185,0.37826056,-0.2464568,-0.154219879,0.20523629,-0.081658983,0.712540946,-0.31938479,0.083500113,-0.013806439,0.058564892,0.322266306,0.06469763,10.0,0
41784.0,-1.042559318,-0.373255013,1.262189182,-1.777463576,1.357842751,2.011191893,0.604387057,0.409061757,-1.917121557,0.072481904,1.112731066,0.335402137,0.408008145,0.145515408,0.727952331,-1.952117269,0.138013859,-0.514602013,-1.964623504,-0.181616038,-0.680465704,-1.63986359,0.274799095,-2.277392943,-0.185977945,0.049504578,-0.153502621,-0.182276723,112.85,0
74270.0,0.939086045,-0.211592329,1.307988419,1.203653781,-0.305500712,1.650782759,-0.861309218,0.647216114,0.797790405,-0.404834766,0.521674378,1.153709509,0.256185448,-0.289466991,1.204399368,-1.300413877,1.05498997,-2.157196714,-1.888903395,-0.254827832,0.084186606,0.611704301,0.156915344,-0.628639996,0.067485717,-0.301706871,0.146330947,0.027902182,11.5,0
155173.0,-0.541542734,1.591265922,-1.317792414,0.91414483,1.212490947,-0.069512449,1.079809911,0.441074034,-0.993212099,-0.683962045,0.312592886,-0.285694679,-1.286613282,-0.337123681,-0.712591183,-0.196024254,1.136979457,1.153473654,0.994703641,0.078049836,0.104454022,0.31755628,-0.173800425,0.073843142,0.084897954,-0.393216015,0.300986063,0.207421429,55.54,0
152165.0,-4.673230766,4.195975762,-8.392422791,7.743215147,-1.138803489,-2.094899155,-3.839486567,0.543053448,-1.528448237,-2.325113441,4.35577002,-8.663030576,-1.153992528,-13.48170468,1.208453857,-4.287959839,-5.651765272,-1.235889255,1.080132893,-0.180278731,0.554184996,0.65607567,0.482417262,-0.624399457,-0.296288558,0.374802036,-2.678543769,0.412367567,1.0,1
68792.0,-1.908787171,-1.895318025,2.316598841,-2.72017033,0.467936884,-1.092812016,-0.431054257,0.187473228,1.853550492,-2.011539412,1.495810828,1.036968813,-1.028544154,-0.039915125,0.815356011,-0.941815516,-0.148757912,0.649024813,0.396718555,0.543253585,0.416497773,0.922059892,0.086171389,0.23993841,0.611853494,-0.74945565,-0.125342627,-0.12550065,118.66,0
76016.0,1.294398342,-0.975211104,0.895221036,-0.745808247,-1.130077049,0.764550987,-1.390288947,0.409041647,-0.087971799,0.588148371,0.522825199,-0.191079292,-0.555351333,-0.481454321,-0.399476641,1.16012113,0.290843962,-0.933757713,0.873803279,0.033222415,0.14818749,0.486610571,-0.078616266,-0.643735852,0.3213217,-0.140394699,0.059276169,0.006572749,17.4,0
153971.0,-0.451342173,-0.845452169,1.523710613,-1.954717784,-1.4724911,0.497819038,-1.846668123,0.780360388,-2.057468796,0.989230532,0.597756789,-0.006996248,1.44471033,-0.549355275,0.252650618,0.053133548,0.301633691,1.416264133,0.544055088,-0.107605314,0.333714068,1.175442281,0.092847802,0.725601222,-1.028970465,-0.060979546,0.165930893,0.09839578,20.3,0
58642.0,-0.45138257,2.2251465,-4.953050453,4.342228248,-3.65619019,-0.020121466,-5.407553618,-0.748436141,-1.362197751,-4.170622887,3.762306382,-4.226224695,-2.04669403,-4.710497936,0.21757236,-4.739083784,-6.131886752,-2.425870639,2.31416487,0.724381268,-0.575924092,0.495889441,1.154127939,-0.016185786,-2.079928263,-0.554376906,0.455179271,0.001320656,113.92,1
130479.0,1.975204973,0.148312005,-1.517271857,0.526170525,0.137353933,-1.15644272,0.201101692,-0.19465958,0.464712234,-0.429684113,1.362342089,0.925889149,-0.366770386,-0.645500762,-0.387438758,0.228460515,0.443179033,0.368363311,0.250239582,-0.20809238,-0.264159734,-0.648645915,0.270036364,-0.067120462,-0.166545199,-0.608460333,-0.001805047,-0.030818215,9.99,0
113097.0,2.062396576,-0.153565252,-1.594538001,-0.005036841,0.344404686,-0.420631811,-0.007358538,-0.072989606,0.655099255,0.097194209,0.486596857,0.37768166,-0.883759211,0.833015566,0.326149338,0.076516563,-0.875961704,0.834438835,0.243810429,-0.263071302,0.282587287,0.883002536,-0.03109312,0.349416332,0.337969974,-0.446878568,-0.006670806,-0.062595578,1.0,0
153761.0,1.146259267,1.403458243,-4.159148191,2.660107057,-0.323216827,-1.836070894,-1.623740059,0.259562498,-1.13204415,-3.356473714,3.646477838,-3.002684156,-0.64750058,-5.945003313,0.174650037,-1.475639514,-3.082273525,0.224739755,-0.300930779,0.284830656,0.564449516,0.445743912,-0.141136197,-0.265517116,0.36225992,-0.416062098,0.507369853,0.243744114,51.37,1
32831.0,-5.469792889,3.709250095,-5.122549401,1.208015337,-1.37799179,-1.780603135,0.672782739,0.814134491,2.729715999,4.046592249,2.637453621,-0.02333084,-1.08091368,-3.890727152,0.906161643,1.034401695,2.753338638,1.793131194,-0.628277595,1.326521452,-0.922291547,-0.402025092,-0.371511178,0.172522169,0.053302669,-0.638068813,-0.772483883,-0.971059874,99.99,0
